_id,Project ID,Addresses,Anchor Address,Status,Ward Number,Ward Name,Affordable Homes Approved,Rent-Controlled Market Units Approved,RGI Homes Approved,geometry
69,ARH0131,306-310 Gerrard Street East,306 Gerrard St E,Approved OPAs and Zoning By-Law Amendments,13,Toronto Centre,0,0,96,"{""type"": ""Point"", ""coordinates"": [-79.36647126, 43.66246552]}"
70,ARH0214,835-841 Queen Street East,835 Queen St E,Pre-Planning,14,Toronto-Danforth,96,0,0,"{""type"": ""Point"", ""coordinates"": [-79.34403496, 43.65999345]}"
71,ARH0061,1731 Lawrence Avenue East,1731 Lawrence Ave E,Started Construction,21,Scarborough Centre,0,0,95,"{""type"": ""Point"", ""coordinates"": [-79.30817097, 43.74208978]}"
72,ARH0277,8-16 Locust St.,8 Locust St,Started Construction,5,York South-Weston,95,0,0,"{""type"": ""Point"", ""coordinates"": [-79.49071022, 43.68882033]}"
73,ARH0042,150 Queens Wharf Road,150 Queens Wharf Rd,Planning Applications Under Review,10,Spadina-Fort York,85,188,9,"{""type"": ""Point"", ""coordinates"": [-79.39995208, 43.63983361]}"
74,ARH0053,1631 - 1632 Queen Street East,1631 Queen St E,Planning Applications Under Review,19,Beaches-East York,84,186,9,"{""type"": ""Point"", ""coordinates"": [-79.31557687, 43.66630071]}"
75,ARH0064,1750 Ellesmere Road,1750 Ellesmere Rd,Planning Applications Under Review,24,Scarborough-Guildwood,92,0,0,"{""type"": ""Point"", ""coordinates"": [-79.24663325, 43.77354895]}"
76,ARH0197,65 Dundas St E - phase 1 ,65 Dundas St E,Occupied,13,Toronto Centre,0,0,92,"{""type"": ""Point"", ""coordinates"": [-79.37845424, 43.65601111]}"
77,ARH0091,2200 Eglinton Avenue East Golden Mile (Blocks 4 and 7),2200 Eglinton Ave E,Approved OPAs and Zoning By-Law Amendments,21,Scarborough Centre,91,0,0,"{""type"": ""Point"", ""coordinates"": [-79.28114089, 43.73001601]}"
78,ARH0161,405 Sherbourne Street,405 Sherbourne St,Approved OPAs and Zoning By-Law Amendments,13,Toronto Centre,80,178,9,"{""type"": ""Point"", ""coordinates"": [-79.37335558, 43.66460723]}"
79,ARH0217,877 Yonge Street (Phase 1),877 Yonge St,Occupied,11,University-Rosedale,0,0,88,"{""type"": ""Point"", ""coordinates"": [-79.38805823, 43.67443505]}"
